supporting_grant_ids,doi,year,title
"['grant.2687516', 'grant.2424634']",10.1089/088922201316912781,2001,HIV Type 1 Vaccine-Induced T Cell Memory and Cytotoxic T Lymphocyte Responses in HIV Type 1-Uninfected Volunteers
"['grant.2667038', 'grant.2489689', 'grant.2634501', 'grant.2489571']",10.1128/iai.69.8.4767-4773.2001,2001,Facilitated Intranasal Induction of Mucosal and Systemic Immunity to Mutans Streptococcal Glucosyltransferase Peptide Vaccines
['grant.2474868'],10.1089/15258160152509118,2001,Preparation of autologous leukemia and lymphoma vaccines expressing alpha-gal epitopes.
['grant.2474868'],10.1093/glycob/11.7.577,2001,"Synthesis of α-gal epitopes (Galα1-3Galβ1-4GlcNAc-R) on human tumor cells by recombinant α1,3galactosyltransferase produced in Pichia pastoris"
['grant.6728996'],10.1016/s0264-410x(01)00152-9,2001,Assembly of synthetic peptide vaccines by chemoselective ligation of epitopes: influence of different chemical linkages and epitope orientations on biological activity
"['grant.2489689', 'grant.2634501']",10.1128/jcm.39.6.2313-2316.2001,2001,Genotypic Diversity of Mutans Streptococci in Brazilian Nursery Children Suggests Horizontal Transmission
"['grant.2451204', 'grant.2640228', 'grant.2657704']",10.1128/iai.69.6.4103-4108.2001,2001,Protection against Cutaneous Leishmaniasis Induced by Recombinant Antigens in Murine and Nonhuman Primate Models of the Human Disease
['grant.2566739'],10.1099/0022-1317-82-6-1329,2001,Sabin attenuated LSc/2ab strain of poliovirus spreads to the spinal cord from a peripheral nerve in bonnet monkeys (Macaca radiata)
"['grant.2424632', 'grant.2424634', 'grant.2424631', 'grant.2424628', 'grant.2424630', 'grant.2424629']",10.1089/088922201750236942,2001,Trial-Related Discrimination in HIV Vaccine Clinical Trials
"['grant.2634501', 'grant.2489689']",10.1128/iai.69.5.3135-3142.2001,2001,Passive Transfer of Immunoglobulin Y Antibody toStreptococcus mutans Glucan Binding Protein B Can Confer Protection against Experimental Dental Caries
['grant.8217971'],10.1016/s0264-410x(00)00561-2,2001,Induction of hepatitis B virus-specific cytotoxic T lymphocytes response in vivo by filamentous phage display vaccine
['grant.2424632'],10.1016/s0264-410x(01)00051-2,2001,A Phase I safety and immunogenicity trial of UBI® microparticulate monovalent HIV-1 MN oral peptide immunogen with parenteral boost in HIV-1 seronegative human subjects
"['grant.2424629', 'grant.2633939']",10.4049/jimmunol.166.5.3580,2001,Recombinant HIV-1 Glycoprotein 120 Induces Distinct Types of Delayed Hypersensitivity in Persons With or Without Pre-Existing Immunologic Memory
"['grant.2452552', 'grant.2424653']",10.1016/s0198-8859(00)00238-x,2001,High frequency of HLA-A∗0103 allele in a Somali population
"['grant.2424634', 'grant.2687516']",10.1016/s0264-410x(00)00378-9,2001,Cytokine responses to human immunodeficiency virus type 1 (HIV-1) induced by immunization with live recombinant canarypox virus vaccine expressing HIV-1 genes boosted by HIV-1SF-2 recombinant GP120
"['grant.2424632', 'grant.2433614', 'grant.2424828', 'grant.2424900', 'grant.2424633', 'grant.2424634', 'grant.2424631']",10.1016/s0264-410x(00)00415-1,2001,QS-21 promotes an adjuvant effect allowing for reduced antigen dose during HIV-1 envelope subunit immmunization in humans
"['grant.2495624', 'grant.', 'grant.2664798', 'grant.2516492']",10.1073/pnas.98.1.182,2001,Recombination within natural populations of pathogenic bacteria: Short-term empirical estimates and long-term phylogenetic consequences
"['grant.2579725', 'grant.2640228', 'grant.2657704', 'grant.2451204']",10.4049/jimmunol.166.1.498,2001,Identification and Characterization of T Cell-Stimulating Antigens from Leishmania by CD4 T Cell Expression Cloning
"['grant.2424631', 'grant.2424632', 'grant.2424828']",10.1089/088922200750054756,2000,Immunization with Recombinant Canarypox Vectors Expressing Membrane-Anchored Glycoprotein 120 Followed by Glycoprotein 160 Boosting Fails to Generate Antibodies That Neutralize R5 Primary Isolates of Human Immunodeficiency Virus Type 1
"['grant.2409690', 'grant.2424632', 'grant.2438689']",10.1128/jvi.74.21.10249-10255.2000,2000,A Significant Number of Human Immunodeficiency Virus Epitope-Specific Cytotoxic T Lymphocytes Detected by Tetramer Binding Do Not Produce Gamma Interferon
['grant.6716599'],10.1128/jvi.74.17.8011-8017.2000,2000,Identification of Immunodominant and Conformational Epitopes in the Capsid Protein of Hepatitis E Virus by Using Monoclonal Antibodies
"['grant.2687418', 'grant.2633939', 'grant.2454582', 'grant.2438686', 'grant.2452956', 'grant.2424629']",10.1189/jlb.68.3.338,2000,HIV‐1 genotypes in peripheral blood monocytes
"['grant.2640574', 'grant.2453582', 'grant.2657809', 'grant.2625437', 'grant.2597536', 'grant.2424633']",10.1128/jvi.74.16.7238-7249.2000,2000,Mapping and Characterization of the N-Terminal I Domain of Human Immunodeficiency Virus Type 1 Pr55Gag
"['grant.2437293', 'grant.2664798', 'grant.2495624']",10.1128/iai.68.8.4505-4517.2000,2000,"Variability of Outer Membrane Protein P1 and Its Evaluation as a Vaccine Candidate against Experimental Otitis Media due to Nontypeable Haemophilus influenzae: an Unambiguous, Multifaceted Approach"
['grant.2424632'],10.1097/00002030-200007070-00009,2000,Cytokine profiles in seronegative volunteers immunized with a recombinant canarypox and gp120 prime-boost HIV-1 vaccine
"['grant.2424630', 'grant.2453676']",10.1097/00042560-200007010-00001,2000,Rapid Communication: Development of in Vitro Resistance to Macrophage-Tropic– and T-Cell-Line–Adapted HIV-1 Strains Among HIV-Positive Volunteers Treated With Highly Active Antiretroviral Therapy
"['grant.2424629', 'grant.2424633', 'grant.2424372']",10.1089/08892220050042846,2000,"A Phase II Study of Two HIV Type 1 Envelope Vaccines, Comparing Their Immunogenicity in Populations at Risk for Acquiring HIV Type 1 Infection"
"['grant.2424634', 'grant.2424662']",10.1086/313887,2000,In Vitro Measurement of Protective Mycobacterial Immunity: Antigen-Specific Expansion of T Cells Capable of Inhibiting Intracellular Growth of Bacille Calmette-Guérin
"['grant.2489689', 'grant.2634501']",10.1177/00220345000790060401,2000,Water-insoluble Glucan Synthesis by Mutans Streptococcal Strains Correlates with Caries Incidence in 12- to 30-month-old Children
"['grant.2646650', 'grant.7802408', 'grant.2489689', 'grant.2634501', 'grant.2659811']",10.1034/j.1399-302x.2000.150209.x,2000,"Induction of secretory immunity with bioadhesive poly ( D,L‐lactide‐co‐glycolide) microparticles containing Streptococcus sobrinus glucosyltransferase"
"['grant.2424630', 'grant.2453676']",10.1086/315300,2000,Resistance to Human Immunodeficiency Virus Type 1 In Vitro as a Surrogate of Vaccine-Induced Protective Immunity
"['grant.2471753', 'grant.2474493', 'grant.2688631']",10.1006/clim.1999.4826,2000,Stimulatory and Inhibitory Differentiation of Human Myeloid Dendritic Cells
"['grant.2424629', 'grant.2687383', 'grant.2409808']",10.1086/315202,2000,Effect of Combination Antiretroviral Therapy on T-Cell Immunity in Acute Human Immunodeficiency Virus Type 1 Infection
"['grant.2681832', 'grant.2451936', 'grant.2681806', 'grant.2409680', 'grant.2633717', 'grant.2424631', 'grant.2449705', 'grant.2462731']",10.1016/s1074-7613(00)80147-8,1999,Attrition of T Cell Memory Selective Loss of LCMV Epitope–Specific Memory CD8 T Cells following Infections with Heterologous Viruses
['grant.2424631'],10.1089/088922299309856,1999,Primary Isolate Neutralization by HIV Type 1-Infected Patient Sera in the Era of Highly Active Antiretroviral Therapy
['grant.6728996'],10.1016/s0264-410x(99)00255-8,1999,The antigenic and immunogenic properties of synthetic peptide immunocontraceptive vaccine candidates based on gamete antigens
"['grant.2424631', 'grant.2424630', 'grant.2424634']",10.1086/314985,1999,Immunization with Envelope MN rgp120 Vaccine in Human Immunodeficiency Virus-Infected Pregnant Women
"['grant.2625437', 'grant.2424633']",10.1086/315028,1999,Efficient Human Immunodeficiency Virus (HIV)-1 Gag-Env Pseudovirion Formation Elicited from Mammalian Cells by a Canarypox HIV Vaccine Candidate
"['grant.2424632', 'grant.2424633', 'grant.2424631']",10.1086/314895,1999,A Canarypox Vaccine Expressing Multiple Human Immunodeficiency Virus Type 1 Genes Given Alone or with Rgp120 Elicits Broad and Durable CD8+ Cytotoxic T Lymphocyte Responses in Seronegative Volunteers
"['grant.2438686', 'grant.2424629', 'grant.2687418']",10.1086/314868,1999,Early and Persistent Human Immunodeficiency Virus Type 1 (HIV-1)—Specific T Helper Dysfunction in Blood and Lymph Nodes following Acute HIV-1 Infection
['grant.6716599'],10.1016/s0378-1135(99)00065-6,1999,Serological evidence for swine hepatitis E virus infection in Australian pig herds
['grant.6716599'],10.1016/s0166-0934(99)00069-5,1999,"ELISA for IgG-class antibody to hepatitis E virus based on a highly conserved, conformational epitope expressed in Eschericia coli"
"['grant.2424631', 'grant.2424660']",10.1089/107999099313596,1999,Production of Influenza-Stimulated Tumor Necrosis Factor-alpha by Monocytes Following Acute Influenza Infection in Humans
"['grant.2424370', 'grant.2424371', 'grant.2424634']",10.1089/088922299310638,1999,MN and IIIB Recombinant Glycoprotein 120 Vaccine-Induced Binding Antibodies to Native Envelope Glycoprotein of Human Immunodeficiency Virus Type 1 Primary Isolates
"['grant.2424575', 'grant.2424633', 'grant.2640574', 'grant.2657809']",10.1111/j.1600-0684.1999.tb00257.x,1999,Neutralizing antibody responses in Africa green monkeys naturally infected with simian immunodeficiency virus (SIVagm)
"['grant.2424660', 'grant.2424631']",10.1086/314702,1999,Detection of Intracellular Antigen-Specific Cytokines in Human T Cell Populations
['grant.2657670'],10.1016/s0264-410x(98)00387-9,1999,Oral immunization with recombinant Helicobacter pylori urease confers long-lasting immunity against Helicobacter felis infection
"['grant.2438686', 'grant.2452956', 'grant.2633939', 'grant.2424372']",10.1086/314632,1999,Protection against Human Immunodeficiency Virus Type 1 Infection in Persons with Repeated Exposure: Evidence for T Cell Immunity in the Absence of Inherited CCR5 Coreceptor Defects
"['grant.2424371', 'grant.2424448', 'grant.2424634']",10.1089/088922299311547,1999,HIV-1MN Recombinant Glycoprotein 160 Vaccine-Induced Cellular and Humoral Immunity Boosted by HIV-1MN Recombinant Glycoprotein 120 Vaccine
"['grant.2687218', 'grant.2369745', 'grant.2683915']",10.1515/bc.1999.048,1999,A Disulfide-Bound HIV-1 V3 Loop Sequence on the Surface of Human Rhinovirus 14 Induces Neutralizing Responses against HIV-1
"['grant.2452552', 'grant.2424653']",10.1016/s0264-410x(98)00435-6,1999,The burden of pneumococcal disease: the role of conjugate vaccines
"['grant.2424653', 'grant.2452552']",10.1016/s0264-410x(98)00429-0,1999,Immunogenetic mechanisms of antibody response to measles vaccine: the role of the HLA genes
"['grant.2424653', 'grant.2452552']",10.1016/s0264-410x(98)00417-4,1999,Current paradoxes and changing paradigms in vaccinology
"['grant.2424633', 'grant.2450885', 'grant.2633806']",10.1097/00006454-199901000-00014,1999,The natural history of human immunodeficiency virus 1 infection in Haitian infants
"['grant.2688631', 'grant.2471753', 'grant.2474493']",10.1159/000028080,1999,Stimulatory and Inhibitory Maturation of Human Macrophage-Derived Dendritic Cells
"['grant.2424631', 'grant.2424634', 'grant.2424828']",10.1097/00002030-199818000-00009,1998,Induction of immune responses to HIV-1 by canarypox virus (ALVAC) HIV-1 and gp120 SF-2 recombinant vaccines in uninfected volunteers
"['grant.2424631', 'grant.2424660']",10.1016/s0165-2478(98)00080-7,1998,Cytomegalovirus-specific IFNγ and IL-4 are produced by antigen expanded human blood lymphocytes from seropositive volunteers
"['grant.2424630', 'grant.2424631', 'grant.2424634']",10.1097/00042560-199812150-00012,1998,Preventing Discrimination Against Volunteers in Prophylactic HIV Vaccine Trials: Lessons From a Phase II Trial
['grant.2424633'],10.1136/bmj.317.7168.1297,1998,Infection with HIV-1
"['grant.2453027', 'grant.2424630', 'grant.2452405']",10.1086/314452,1998,Neutralization of Syncytium-Inducing Primary Isolates by Sera from Human Immunodeficiency Virus (HIV)-Uninfected Recipients of Candidate HIV Vaccines
"['grant.2441136', 'grant.2424826', 'grant.2421695']",10.1177/030098589803500604,1998,Acute Fulminant Sarcocystosis in a Captive-born Rhesus Macaque
['grant.2566739'],10.1099/0022-1317-79-10-2393,1998,Cell-to-cell spread of poliovirus in the spinal cord of bonnet monkeys (Macaca radiata).
"['grant.2489689', 'grant.2634501']",10.1111/j.1399-302x.1998.tb00708.x,1998,Association of salivary immunoglobulin A antibody and initial mutans streptococcal infection
"['grant.2640087', 'grant.2657659', 'grant.2687338', 'grant.2452676']",10.1016/s0166-6851(98)00119-4,1998,"A novel multi-domain mucin-like glycoprotein of Cryptosporidium parvum mediates invasion1Note: Nucleotide sequence data reported in this paper are available in the EMBL, GenBank™ and DDJB databases under the accession number AF068065.1,2A portion of the amino acid sequence of GP900 was presented at the 47th annual meeting of the Society of Protozoologists and 3rd Workshop on opportunistic Protozoan Pathogens in Cleveland, Ohio, June 1994.2"
"['grant.2424040', 'grant.2471753', 'grant.2688631']",10.1007/s002620050504,1998,Immunization with a tumor-cell-lysate-loaded autologous-antigen-presenting-cell-based vaccine in melanoma
"['grant.2687200', 'grant.2424632', 'grant.2695667', 'grant.2452671', 'grant.2434908']",10.1006/viro.1998.9284,1998,The Matrix Protein of HIV-1 Is Not Sufficient for Assembly and Release of Virus-like Particles
['grant.2572211'],10.1016/s0165-2478(98)00038-8,1998,"Immunostimulatory activity of LT-IIa, a type II heat-labile enterotoxin of Escherichia coli"
"['grant.2687188', 'grant.2438686', 'grant.2424372']",10.1016/s0166-3542(98)00010-2,1998,"Cartesian coordinate analysis of viral burden and CD4+ T-cell count in human immunodeficiency virus type-1 infection1Presented in part at the Keystone Symposia on HIV Pathogenesis, Keystone, CO, USA, April, 1995; Fourth International HIV-1 Drug Resistance Workshop, Sardinia, Italy, July 1995; and the Consensus Conference on Antiviral Therapy, Lisbon, Portugal, July 1995.1"
"['grant.2424631', 'grant.2424630', 'grant.2424634']",10.1086/515288,1998,"Immune responses to human immunodeficiency virus (HIV) type 1 induced by canarypox expressing HIV-1MN gp120, HIV-1SF2 recombinant gp120, or both vaccines in seronegative adults. NIAID AIDS Vaccine Evaluation Group."
"['grant.2409630', 'grant.2424629']",10.7326/0003-4819-128-8-199804150-00001,1998,Biological and virologic characteristics of primary HIV infection.
"['grant.2424653', 'grant.2452552']",10.1097/00008480-199804000-00017,1998,The genetic basis for variation in antibody response to vaccines
"['grant.2438984', 'grant.2490148', 'grant.2489689', 'grant.2634501']",10.1111/j.1399-302x.1998.tb00718.x,1998,Structural integrity of infant salivary immunoglobulin A (IgA) in IgA1 protease‐rich environments
"['grant.2471363', 'grant.2438822', 'grant.2471645']",10.1016/s0733-8635(05)70009-7,1998,VACCINES FOR MELANOMA Design Strategies and Clinical Results
"['grant.2424371', 'grant.2424448', 'grant.2424634']",10.1016/s0264-410x(97)80003-5,1998,Modulation of immunologic responses to HIV-1MN recombinant gp160 vaccine by dose and schedule of administration
"['grant.2687218', 'grant.2438697']",10.1006/viro.1997.8992,1998,A Minimally Replicative HIV-2 Live-Virus Vaccine ProtectsM. nemestrinafrom Disease after HIV-2287Challenge
"['grant.2424630', 'grant.2424629', 'grant.2424631']",10.1086/514209,1998,Analysis of Intercurrent Human Immunodeficiency Virus Type 1 Infections in Phase I and II Trials of Candidate AIDS Vaccines
