Grant Number,Title,Funding Amount in USD,Start Year,End Year,Funder,Funder Country
BIO4980031,Biosafety of vaccines based on self-replicating recombinant alphavirus,0,1998,2000,European Commission,Belgium
IC18980387,Selection of P. Falciparum antigene for MPES vaccine development,0,1999,2001,European Commission,Belgium
CIPA940230,New approaches for the development of enterobacterial vaccine strains,0,1995,1997,European Commission,Belgium
CIPE926123,Development of vaccines against coccidiosis through biotechnology,0,1993,1994,European Commission,Belgium
TS3*930255,Oral vaccine against cholera with Built-in adjuvanticity,0,1994,1997,European Commission,Belgium
TS1*0026,CHEMICAL SYNTHESIS OF HEPATITIS B VACCINES,0,1984,1986,European Commission,Belgium
MR4*0027,DEVELOPMENT OF AN EFFICIENT VACCINE (AIDS),0,1987,1988,European Commission,Belgium
TS2*0188,DEVELOPMENT OF SYNTHETIC VACCINES AGAINST NEMATODE INFECTIONS,0,1989,1993,European Commission,Belgium
TS2*0218,DEVELOPMENT OF VACCINE AGAINST CHAGAS' DISEASE,0,1989,1992,European Commission,Belgium
U01CK000350,EVAL OF IMPCT OF JAPANESE ENCEPHALITIS VACCINE IN CAMBODIA,75190,2014,2015,Centers for Disease Control and Prevention,United States
101143,Rational design of an AIP56-based anti-pasteurellosis vaccine,145174,2010,2013,Foundation for Science and Technology,Portugal
103484,Exploring pathogen diversity in disease epidemiology and vaccine research,217382,2010,2013,Foundation for Science and Technology,Portugal
113650,Melhoramento da imunogenicidade de vacinas de DNA,163587,2011,2013,Foundation for Science and Technology,Portugal
61090,Development of DNA vaccine prototypes for veterinary trypanosomiasis,83746,2005,2007,Foundation for Science and Technology,Portugal
82211,Development of DNA vaccine prototypes for veterinary trypanosomiasis,32656,2007,2009,Foundation for Science and Technology,Portugal
126635,Anti-ghrelin vaccine: a feasible alternative for obesity treatment?,66351,2013,2014,Foundation for Science and Technology,Portugal
116097,Smart porous particles for pulmonary drug and vaccine delivery,116280,2011,2014,Foundation for Science and Technology,Portugal
65048,Impact of the conjugate pneumococcal vaccines on pneumococcal ecology,208503,2009,2012,Foundation for Science and Technology,Portugal
70275,Vaccine potential of different Leishmania infantum proteins,148018,2007,2011,Foundation for Science and Technology,Portugal
152995,Development of subunit anti-viral vaccines for salmonid fish,142445,1998,2000,Natural Sciences and Engineering Research Council,Canada
84171,Towards a live vaccine against cryptobiosis in salmonids,9540,1991,1993,Natural Sciences and Engineering Research Council,Canada
111908,Développement d'un vaccin contre Streptococcus suis,52358,1997,1998,Natural Sciences and Engineering Research Council,Canada
54872,Enhancing vaccine efficacy by molecular chimerization to cytokines,15503,1993,1994,Natural Sciences and Engineering Research Council,Canada
66199,"Development of vaccines for BVDV, BRSV and PI-3",78576,1991,1993,Natural Sciences and Engineering Research Council,Canada
214798,Development of vaccine vector for human immunodeficiency virus,22291,2002,2003,Natural Sciences and Engineering Research Council,Canada
325113,Identification of tumor-associated antigens as cancer vaccine targets,129424,2005,2007,Natural Sciences and Engineering Research Council,Canada
176289,Design of a glycoconjugate vaccine against group A streptococcus,129905,1999,2001,Natural Sciences and Engineering Research Council,Canada
98132,Development of a subunit vaccine for haemophilus somnus,43628,1991,1992,Natural Sciences and Engineering Research Council,Canada
54871,Increasing vaccine efficiency through defined adjuvant use,128223,1992,1994,Natural Sciences and Engineering Research Council,Canada
212544,Design of a glycoconjugate vaccine against group A streptococcus,23745,2002,2003,Natural Sciences and Engineering Research Council,Canada
78064,Development of a multivalent recombinant fowlpox virus vaccine,161733,1991,1993,Natural Sciences and Engineering Research Council,Canada
9534,Development of a molecularly defined vaccine for Myxosporean parasites,116966,1995,1997,Natural Sciences and Engineering Research Council,Canada
472024,Role of TLR4 binding adjuvant in improving cancer vaccines,4090,2010,2011,Natural Sciences and Engineering Research Council,Canada
298504,Attenuating West Nile: The search for a Love Vaccine,14278,2005,2006,Natural Sciences and Engineering Research Council,Canada
240074,Development of porcine adenovirus-3 as a vaccine vector,373818,2000,2004,Natural Sciences and Engineering Research Council,Canada
330272,Attenuating West Nile: The search for a Love Vaccine,15247,2006,2007,Natural Sciences and Engineering Research Council,Canada
408862,Recombinant fowl adenovirus based vaccine against avian influenza,4216,2008,2009,Natural Sciences and Engineering Research Council,Canada
372020,Novel biodegradeable hydrogel for hiv vaccine delivery,16102,2007,2008,Natural Sciences and Engineering Research Council,Canada
53574,Human adenovirus-based vaccines and mammalian expression vectors,351165,1991,1994,Natural Sciences and Engineering Research Council,Canada
239917,Oral vaccines: Targetting to improve induction of mucosal immunity,298383,1999,2004,Natural Sciences and Engineering Research Council,Canada
442602,Diagnostics of fish diseases and development of vaccines,3939,2009,2010,Natural Sciences and Engineering Research Council,Canada
51493,Development of a recombinant vaccine for porcine transmissible gastroenteritis,243286,1991,1994,Natural Sciences and Engineering Research Council,Canada
57603,Development of an effective recombinant Actinobacillus pleuropneumoniae vaccine,206369,1991,1994,Natural Sciences and Engineering Research Council,Canada
152504,Liposome-cytokine formulations as vaccine delivery systems,59485,1996,2000,Natural Sciences and Engineering Research Council,Canada
518456,Synthesis of cyclic oligonucleotide analogues as mucosal vaccine adjuvants,3654,2012,2013,Natural Sciences and Engineering Research Council,Canada
368324,Creating edible forage-based vaccines against bovine pneumonic pasteurellosis,408329,2004,2008,Natural Sciences and Engineering Research Council,Canada
429473,Novel Multi-Strain Vaccines against HIV-1,17520,2009,2010,Natural Sciences and Engineering Research Council,Canada
254432,Development of vaccine vector for human immunodeficiency virus,292,2003,2004,Natural Sciences and Engineering Research Council,Canada
327282,Novel Multi-Strain Vaccines against HIV-1,8812,2006,2007,Natural Sciences and Engineering Research Council,Canada
492,Development of a bovine adenovirus vaccine vector,216848,1994,1997,Natural Sciences and Engineering Research Council,Canada
369571,Novel Multi-Strain Vaccines against HIV-1,27926,2007,2008,Natural Sciences and Engineering Research Council,Canada
467118,In vitro qualification of a SPIO labeled vaccine,4090,2010,2011,Natural Sciences and Engineering Research Council,Canada
470801,Evaluation of fowl adenovirus based recombinant vaccines for poultry,4363,2010,2011,Natural Sciences and Engineering Research Council,Canada
187874,Development of vaccine vector for human immunodeficiency virus,22598,2001,2002,Natural Sciences and Engineering Research Council,Canada
328626,Development of Synthetic Glycoconjugate Vaccines for Active Tumor Immunotherapy,18511,2006,2007,Natural Sciences and Engineering Research Council,Canada
370582,Development of Synthetic Glycoconjugate Vaccines for Active Tumor Immunotherapy,19546,2007,2008,Natural Sciences and Engineering Research Council,Canada
502258,Optimization of vaccine production in algae using engineered bioreactors,17498,2012,2013,Natural Sciences and Engineering Research Council,Canada
467031,Développement d'un vaccin atténué contre la colibacillose aviaire,29109,2010,2011,Natural Sciences and Engineering Research Council,Canada
293470,The Effects of Chemotherapy on Gene-Based Cancer Vaccines,14442,2005,2006,Natural Sciences and Engineering Research Council,Canada
487216,Développement d'un vaccin atténué contre la colibacillose aviaire,30328,2011,2012,Natural Sciences and Engineering Research Council,Canada
Z01RR010444,UPDATING COMPUTER FACILITIES FOR THE VACCINE LABORATORY,0,1994,1994,National Center for Advancing Translational Sciences,United States
Y1AI2642-11-0-1,HIV Vaccine Research and Development,22663000,2008,2008,National Institute of Allergy and Infectious Diseases,United States
U51IP000821,INTRODUCING THE USE OF SEASONAL INFLUENZA VACCINES,696000,2013,2016,Centers for Disease Control and Prevention,United States
U38IP522352,Enhanced surveillance for newly vaccine preventable disease,0,2002,2007,Centers for Disease Control and Prevention,United States
U18FD004012,Discovery of Biological and Immunological Biomarkers for TB Vaccines,299525,2010,2014,United States Food and Drug Administration,United States
U10CI923373,STUDYING THE MEASLES INFECTIONS &DEVELOPMENT OF MEASLES VACCINES,0,2003,2007,Centers for Disease Control and Prevention,United States
U01FD004575,Innovations in Vaccine Clinical Trials and Pharmacovigilance,1492900,2012,2017,United States Food and Drug Administration,United States
U01FD004248,SUPPORTING INFLUENZA VACCINE INTRODUCTION IN LOW-MIDDLE INCOME COUNTRIES,1373500,2011,2017,United States Food and Drug Administration,United States
U01AI037543,EPITOPE POLYMORPHISM IN P FALCIPARUM VACCINE ANIGENS,0,1994,1997,National Institute of Allergy and Infectious Diseases,United States
U01AI037542,DESIGN AND IMMUNE MECHANISMS OF P FALCIPARUM CS VACCINE,0,1994,1997,National Institute of Allergy and Infectious Diseases,United States
U01AI036467,ANTIGENIZED ANTIBODY AND GENE IN MALARIA VACCINE,0,1994,1997,National Institute of Allergy and Infectious Diseases,United States
U01AI035365,LIVE ATTENUATED MULTIPLY DELETED HIV1 VACCINE FOR AIDS,0,1994,1998,National Institute of Allergy and Infectious Diseases,United States
U01AI026507,COMBINED VACCINE STRATEGIES FOR THE PREVENTION OF AIDS,0,1989,1998,National Institute of Allergy and Infectious Diseases,United States
U01AI026503,NOVEL IMDEF VIRUS VACCINES IN NHP MODELS,0,1988,1998,National Institute of Allergy and Infectious Diseases,United States
R56AI063396,Development of multi-antigen subunit SARS vaccines,284375,2006,2008,National Institute of Allergy and Infectious Diseases,United States
R55AI040302,STRUCTURAL AND CONFORMATIONAL ASPECTS IN PEPTIDE VACCINE,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R55AI039427,RECOMBINANT L MONOCYTOGENES AS AN SIV VACCINE,0,1996,1996,National Institute of Allergy and Infectious Diseases,United States
R44AI033301,CELL CULTURE PRODUCTION OF T GONDII T 263 VACCINE,0,1992,1997,National Institute of Allergy and Infectious Diseases,United States
R44AI032847,VACCINE TO TREAT HEPATITIS B VIRUS INFECTION,0,1992,1997,National Institute of Allergy and Infectious Diseases,United States
R44AI026028,ATTENUATION OF THE NYCBH VACCINE STRAIN OF VACCINIA,0,1988,1993,National Institute of Allergy and Infectious Diseases,United States
R43DK050890,ADHESIN BASED VACCINE TO PREVENT URINARY TRACT INFECTION,0,1996,1996,National Institute of Diabetes and Digestive and Kidney Diseases,United States
R43CA074665,DEVELOPMENT OF TUMOR VACCINES USING GPI LINKED MOLECULES,0,1997,1999,National Cancer Institute,United States
R43CA069885,THERAPEUTIC TUMOR VACCINE AGAINST HER 2/NEU,0,1996,1996,National Cancer Institute,United States
R43AI054075,Allergy Protection by Active IgE B Cell Vaccines,552946,2003,2004,National Institute of Allergy and Infectious Diseases,United States
R43AI046212,EPITOPE-DRIVEN HIV VACCINE TARGETING DENDRITIC CELLS,0,1999,2000,National Institute of Allergy and Infectious Diseases,United States
R43AI044532,ORAL DELIVERY OF ENCAPSULATED MULTIMERIC AIDS VACCINES,0,1999,2001,National Institute of Allergy and Infectious Diseases,United States
R43AI040397,DEVELOPMENT OF A VACCINE FOR CLOSTRIDIUM DIFFICILE,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI039906,UBIQUITIN FUSION FOR PEPTIDE IMMUNE DISPLAY AND VACCINES,0,1996,1996,National Institute of Allergy and Infectious Diseases,United States
R43AI039865,LYME VACCINE BASED ON BORRELIA DECORIN ADHESIN,0,1996,1996,National Institute of Allergy and Infectious Diseases,United States
R43AI039334,PEPTIDE ANTIIGE VACCINE FOR IMMUNOTHERAPY OF ALLERGY,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI039318,LYME VACCINE BASED ON BORRELIA TRANSFERIN RECEPTORS,0,1996,1996,National Institute of Allergy and Infectious Diseases,United States
R43AI039276,ORAL HIV-1 VACCINE TECHNOLOGIES USING OPTIVAX COPOLYMER,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI038081,PEPTIDE BASED VACCINE FOR PRIMATE MODEL OF AIDS,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI036003,"ORAL, LIVE, ATTENUATED VIBRIO VECTORED SSONNEI VACCINE",0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R43AI026028,ATTENUATION OF THE NYCBH VACCINE STRAIN OF VACCINIA,0,1988,1988,National Institute of Allergy and Infectious Diseases,United States
R29AI027332,CS PROTEIN T-EPITOPE POLYMORPHISM--MALARIA VACCINE,0,1988,1989,National Institute of Allergy and Infectious Diseases,United States
R21DK057206,A TARGETED PLANT-BASED VACCINE FOR TYPE I DIABETES,163941,1999,2002,National Institute of Diabetes and Digestive and Kidney Diseases,United States
R21DK057113,APC-TARGETING VACCINE FOR PREVENTION OF TYPE I DIABETES,164000,1999,2002,National Institute of Diabetes and Digestive and Kidney Diseases,United States
R21AI046329,DEVELOPMENT/EVALUATION OF HYBRID NOVEL MUCOSAL VACCINES,150000,1999,2002,National Institute of Allergy and Infectious Diseases,United States
R21AI046184,NEW STRATEGIES FOR BACTERIAL DELIVERY OF DNA VACCINES,237750,1999,2002,National Institute of Allergy and Infectious Diseases,United States
R21AI045396,HIV VACCINE STRATEGIES BASED ON A GOAT LENTIVIRUS--CAEV,368846,1999,2005,National Institute of Allergy and Infectious Diseases,United States
R21AI044369,DEVELOPMENT OF ENHANCED HIV 1 PSEUDOVIRION VACCINES,181850,1999,2002,National Institute of Allergy and Infectious Diseases,United States
R21AI040261,DEVELOPMENT OF AN ORAL MULTIVALENT SHIGELLA/ETEC VACCINE,0,1996,1997,National Institute of Allergy and Infectious Diseases,United States
R21AI040090,DEVELOPMENT OF A GENETIC VACCINE FOR M TUBERCULOSIS,0,1996,1998,National Institute of Allergy and Infectious Diseases,United States
R21AI038979,DETOXIFIED BACTERIAL TOXINS AS CTL VACCINE MOLECULES,0,1997,1999,National Institute of Allergy and Infectious Diseases,United States
R15AI037777,MUCOSAL VACCINES--HEAT LABILE TOXIN/ANTIGEN FUSIONS,0,1995,1997,National Institute of Allergy and Infectious Diseases,United States
R13CA067131,INTERNATIONAL CONFERENCE ON VACCINES FOR CANCER AND AIDS,0,1995,1996,National Cancer Institute,United States
R03OH003255,HEPATITIS B VACCINE ACCEPTANCE BY NURSING HOME WORKERS,0,1995,1997,Centers for Disease Control and Prevention,United States
R03AI058222,DNA/MVA HIV Vaccine for India,100000,2003,2005,National Institute of Allergy and Infectious Diseases,United States
R03AI045084,MUCOSAL IMMUNITY TO VIRULENT AND VACCINE-STRAIN CMV,142814,1999,2003,National Institute of Allergy and Infectious Diseases,United States
R03AI033668,EVALUATION OF ARI ORGANISMS FOR VACCINE DEVELOPMENT,0,1992,1995,National Institute of Allergy and Infectious Diseases,United States
R01RR008552,DEVELOPMENT OF SUBUNIT VACCINE FOR M PULMONIS IN MICE,0,1993,1997,National Center for Advancing Translational Sciences,United States
R01FD002545,DC TUMOR CONJUGATE VACCINE FOR IMMUNOTHERAPY,0,2005,2007,United States Food and Drug Administration,United States
R01AI044592,EVALUATION STUDIES--DNA VACCINE EXPRESSING SIVSM VLP,1010353,1999,2003,National Institute of Allergy and Infectious Diseases,United States
R01AI037166,DNA VACCINES-RESPONSES TO VECTORS WITH RABIES ANTIGENS,1273968,1994,2006,National Institute of Allergy and Infectious Diseases,United States
R01AI035196,DEVELOPMENT OF A POX-VECTORED MEASLES VACCINE,0,1993,1998,National Institute of Allergy and Infectious Diseases,United States
R01AI035137,MEASLES &MEASLES VACCINES--MECHANISMS OF IMMUNE INJURY,0,1993,1997,National Institute of Allergy and Infectious Diseases,United States
R01AI031224,GENE EXPRESSION FOR S MANSONI VACCINE ANTIGEN,0,1991,1997,National Institute of Allergy and Infectious Diseases,United States
R01AI021024,PREVENTION OF NEONATAL BACTEREMIA WITH PILUS VACCINE,0,1984,1987,National Institute of Allergy and Infectious Diseases,United States
P01AI056356,HSV-1 Amplicon Vectors for HIV Vaccine Delivery,11606890,2003,2009,National Institute of Allergy and Infectious Diseases,United States
P01AI052816,"HIV, TB, and Malaria Vaccine Development for Africa",14490691,2003,2009,National Institute of Allergy and Infectious Diseases,United States
P01AI024009,HSV VACCINE DESIGN--ABLATION OF VIRULENCE AND LATENCY,0,1987,1997,National Institute of Allergy and Infectious Diseases,United States
N43AI052598,DNA TECHNIQUES FOR PRODUCTION OF A VACCINE TO AIDS,0,1985,1986,National Institute of Allergy and Infectious Diseases,United States
N01HD953226,EVALUATE SAFETY OF VACCINES TO PREVENT SHIGELLOSIS-275953226,0,2004,2004,National Institute of Child Health and Human Development,United States
N01HD073269,CONJUGATE VACCINES DESIGNED TO PREVENT TYPHOID FEVER-275973269,217249,1997,2000,National Institute of Child Health and Human Development,United States
N01HD073264,KILLED ORAL CHOLERA VACCINE EFFECTIVENESS TRIAL--VIETNAM-275973264,0,1996,2001,National Institute of Child Health and Human Development,United States
N01HD072923,TEST OF ACELLULAR PERTUSSIS VACCINE IN INFANTS,0,1987,1988,National Institute of Child Health and Human Development,United States
N01HD053225,EVALUATION OF TYPHOID FEVER VI CONJUGATE VACCINE,0,1995,1997,National Institute of Child Health and Human Development,United States
N01HD033187,U.S. CLINICAL TRIAL OF ACELLULAR PERTUSSIS VACCINE,0,1993,1995,National Institute of Child Health and Human Development,United States
N01HD033186,U.S. CLINICAL TRIAL OF ACELLULAR PERTUSSIS VACCINE,0,1993,1995,National Institute of Child Health and Human Development,United States
N01HD023151,PRODUCTION OF NICHD DPT VACCINE FOR U.S. CLINICAL TRIALS,0,1992,1993,National Institute of Child Health and Human Development,United States
N01AO035154,OPERATION OF &EXPERIMENTAL VIRUS VACCINE PRODUCTION LAB,0,1992,1997,National Institute of Allergy and Infectious Diseases,United States
N01AI095041,ADVERSE CONSEQUENCES OF PERTUSSIS AND RUBELLA VACCINES,0,1989,1991,National Institute of Allergy and Infectious Diseases,United States
N01AI085343,PRIMATE IMMUNOLOGY LABORATORY FOR AIDS VACCINE R&D,411574,1998,2003,National Institute of Allergy and Infectious Diseases,United States
N01AI085342,Evaluation of Vaccines and Therapies in Adults/Elderly-26685342,0,1998,2003,National Institute of Allergy and Infectious Diseases,United States
N01AI085341,LAB SUP. FOR AIDS VACCINE &OTHER PREVENT. CLINICAL TRIA,750000,1998,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI085340,PHASE II PNEUMOCOCCAL CONJUGATE VACCINE STUDY IN THE GAM,0,1998,2000,National Institute of Allergy and Infectious Diseases,United States
N01AI075320,TB Research Materials and Vaccine testing-26675320,979767,1997,2004,National Institute of Allergy and Infectious Diseases,United States
N01AI062553,STUDY OF MALARIA VACCINES IN HUMAN VOLUNTEERS,0,1986,1992,National Institute of Allergy and Infectious Diseases,United States
N01AI062528,FACILITY FOR STUDY OF INFECTIOUS DISEASE AND VACCINES,0,1985,1992,National Institute of Allergy and Infectious Diseases,United States
N01AI055263,MAO/EVALUATION OF AIDS VACCINES IN NONHUMAN PRIMATE,0,1995,1998,National Institute of Allergy and Infectious Diseases,United States
N01AI055260,EVALUATION OF AIDS VACCINES IN NON-HUMAN PRIMATE MODELS,0,1995,1999,National Institute of Allergy and Infectious Diseases,United States
N01AI052630,EVALUATION OF AIDS VACCINES IN NON-HUMAN PRIMATE MODELS,0,1995,1997,National Institute of Allergy and Infectious Diseases,United States
N01AI045237,VACCINE DEVELOPMENT--ESTABLISHMENT OF PRIORITIES FOR U S,0,1994,1999,National Institute of Allergy and Infectious Diseases,United States
N01AI045218,CORRELATE IMMUNE PROTECTION IN AIDS VACCINE RECIPIENTS,0,1994,1997,National Institute of Allergy and Infectious Diseases,United States
N01AI045202,CENTRAL LAB FOR AIDS/HIV VACCINE EFFICACY TRIALS,0,1994,2000,National Institute of Allergy and Infectious Diseases,United States
N01AI040072,Production and Testing of a MVA Vaccine-266040072,0,2005,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI040069,Population Genetics Analysis Program: Immunity to Vaccines/Infections--266040069,0,2005,2006,National Institute of Allergy and Infectious Diseases,United States
N01AI040068,POPULATION GENETICS ANALYSIS PROGRAM IMMUNITY TO VACCINES/INFECTION-266040068,0,2006,2006,National Institute of Allergy and Infectious Diseases,United States
N01AI040067,POPULATION GENETICS ANALYSIS PROGRAM:  IMMUNITY TO VACCINES/INFECTIONS-266040067,0,2006,2006,National Institute of Allergy and Infectious Diseases,United States
N01AI040064,POPULATION GENETICS ANALYSIS PROGRAM IMMUNITY TO VACCINES/INFECTION-266040064,0,2006,2006,National Institute of Allergy and Infectious Diseases,United States
N01AI032512,HAEMOPHILUS INFLUENZA TYPE B VACCINE IN HIGH RISK INFANT,0,1983,1986,National Institute of Allergy and Infectious Diseases,United States
N01AI030042,HIV Vaccine Design and Development Teams /HVDDT/-26630042,0,2003,2004,National Institute of Allergy and Infectious Diseases,United States
N01AI030030,HIV VACCINE DESIGN AND DEVELOPMENT TEAMS (HVDDT)-266030030,0,2003,2003,National Institute of Allergy and Infectious Diseases,United States
N01AI030029,HIV Vaccine Design and Development Teams /HVDDT/-26630029,0,2004,2004,National Institute of Allergy and Infectious Diseases,United States
N01AI025494,DEVELOPMENT AND TESTING OF VACCINES AGAINST ANTHRAX-266025494,0,2002,2004,National Institute of Allergy and Infectious Diseases,United States
N01AI025492,Development and Testing of Vaccines Against Anthrax-266025492,0,2002,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI025458,HIV VACCINE DESIGN AND DEVELOPMENT TEAMS-266025458,0,2003,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI022678,STUDY ISSUES AND PRIORITIES FOR NEW VACCINE DEVELOPMENT,0,1982,1985,National Institute of Allergy and Infectious Diseases,United States
N01AI015124,EVAL OF VACCINE PROPH AGAINST INFECT DISEASES IN CHILDRN,0,1991,1996,National Institute of Allergy and Infectious Diseases,United States
N01AI015106,CENTRAL LAB FOR AIDS VACCINE CLINICAL TRIALS,0,1991,1996,National Institute of Allergy and Infectious Diseases,United States
N01AI015094,EVALUATION IN MONKEYS OF VACCINES FOR SAIDS,0,1990,1996,National Institute of Allergy and Infectious Diseases,United States
N01AI012674,DEVELOP AN H INFLUENZAE TYPE B VACCINE,0,1981,1985,National Institute of Allergy and Infectious Diseases,United States
N01AI012666,"FACILITY FOR STUDY OF INFECTIOUS DISEASES, VACCINES",0,1980,1985,National Institute of Allergy and Infectious Diseases,United States
N01AI005397,HIV Vaccine Design and Development Teams-26605397,3773578,2000,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI005396,HIV Vaccine Design and Development Teams-26605396,7545418,2000,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI005395,HIV Vaccine Design and Development Teams-26605395,3213894,2000,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI005394,HIV VACCINE DESIGN AND DEVELOPMENT TEAMS-266005394,2527964,2000,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI005053,DEVELOP LIVE ATTENTUATED COLD ADAPTED INFLUENZA VACCINE,0,1989,1993,National Institute of Allergy and Infectious Diseases,United States
N01AI002645,TEST RESPIRATORY VIRUS AND BACTERIAL VACCINES IN INFANTS,0,1980,1985,National Institute of Allergy and Infectious Diseases,United States
N01AI000068,POPULATION GENETICS ANALYSIS PROGRAM IMMUNITY TO VACCINES/INFECTION-266000068,0,2004,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI000067,POPULATION GENETICS ANALYSIS PROGRAM:  IMMUNITY TO VACCINES/INFECTIONS-266000067,0,2004,2005,National Institute of Allergy and Infectious Diseases,United States
N01AI000065,POPULATION GENETICS ANALYSIS PROGRAM: IMMUNITY TO VACCINES/INFECTIONS--266000065,0,2004,2006,National Institute of Allergy and Infectious Diseases,United States
N01AI000064,POPULATION GENETICS ANALYSIS PROGRAM IMMUNITY TO VACCINES/INFECTION-266000064,0,2004,2005,National Institute of Allergy and Infectious Diseases,United States
K11AI001061,IMMUNE INTERACTIONS OF GONORRHEA AND VACCINE DEVELOPMENT,0,1991,1996,National Institute of Allergy and Infectious Diseases,United States
K08AG000548,"ANTIBODY DIVERSITY, AGE AND INFLUENZA VACCINE EFFICACY",0,1992,1998,National Institute on Aging,United States
K01OH000131,HEALTH CARE WORKER COMPLIANCE WITH HEPATITIS B VACCINE,0,1993,1997,Centers for Disease Control and Prevention,United States
H23IP000767,PREVENTING AND MITIGATING VACCINE PREVENTABLE DISEASE THROUGH IMMUNIZATION,12239874,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000765,TO PREVENT VACCINE-PREVENTABLE DISEASE THROUGH MAINTAINING IMMUNIZATION STRUCTURE,24666320,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000762,Immunization Grant and Vaccines for Children's Program,23776040,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000756,NEBRASKA IMMUNIZATION AND VACCINES FOR CHILDREN PROGRAM,6919041,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000746,GUAM IMMUNIZATION AND VACCINES FOR CHILDREN PROGRAMS,3954801,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000744,GEORGIA IMMUNIZATIONS AND VACCINES FOR CHILDREN GRANTS,26897364,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000742,FSM IMMUNIZATION AND VACCINES FOR CHILDREN GRANTS,3732639,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000731,PREVENTION & CONTROL OF COMMUNICABLE AND VACCINE PREVENTABLE DISEASES,10030916,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000725,KY IMMUNIZATION PROGRAM IMMUNIZATION & VACCINE FOR CHILDREN PROGRAM,13007636,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000721,HAWAII IMMUNIZATION AND VACCINES FOR CHILDREN PROGRAM,9628383,2013,2017,Centers for Disease Control and Prevention,United States
H23IP000708,Building Capacity for Immunization Billing and Vaccine Barcode Reading,835028,2012,2015,Centers for Disease Control and Prevention,United States
F33AI008851,NEISSERIA MENINGITIDIS GROUP B;IDIOTYPES AND VACCINES,0,1993,1993,National Institute of Allergy and Infectious Diseases,United States
F32DK009360,ATTENUATED SHIGELLA AS TOXIGENIC E COLI VACCINE,0,1996,1996,National Institute of Diabetes and Digestive and Kidney Diseases,United States
F32AI009773,VACCINE POTENTIAL OF PAR PROTEINS OF TRYPANOSOMA CRUZI,0,1997,1999,National Institute of Allergy and Infectious Diseases,United States
F32AI008991,LIVE AND ATTENUATED VIBRIO CHOLERAE VACCINE STRAINS,0,1994,1995,National Institute of Allergy and Infectious Diseases,United States
F32AI008965,DEVELOPMENT OF A SINGLE DOSE TETANUS VACCINE,0,1994,1994,National Institute of Allergy and Infectious Diseases,United States
F31AI010487,SALMONELLA AS A VACCINE TOOL AGAINST HIV,113650,2000,2002,National Institute of Allergy and Infectious Diseases,United States
F05TW004386,FACTORS INFLUENCING HIB DISEASE AND VACCINE EFFICACY,0,1990,1991,Fogarty International Center,United States
F05TW003315,DEVELOPMENT OF VACCINE AGAINST GROUP B STREPTOCOCCI,0,1985,1985,Fogarty International Center,United States
272200800057C-1-0-2,Vaccine and Treatment Evaluation Units,2723435,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800057C-1-0-1,Vaccine and Treatment Evaluation Units,371377,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800056C-0-0-1,Advanced Development of Multivalent Filovirus Vaccines,13496364,2008,2013,National Institute of Allergy and Infectious Diseases,United States
272200800051C-0-0-1,Development of an Anthrax Vaccine,13072863,2008,2011,National Institute of Allergy and Infectious Diseases,United States
272200800008C-2-0-2,Vaccine and Treatment Evaluation Units,2809421,2008,2008,National Institute of Allergy and Infectious Diseases,United States
272200800008C-2-0-1,Vaccine and Treatment Evaluation Units,383103,2008,2008,National Institute of Allergy and Infectious Diseases,United States
272200800007C-1-0-2,Vaccine and Treatment Evaluation Units,2729831,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800007C-1-0-1,Vaccine and Treatment Evaluation Units,372250,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800006C-2-0-2,Vaccine and Treatment Evaluation Units,2628793,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800006C-2-0-1,Vaccine and Treatment Evaluation Units,358447,2007,2014,National Institute of Allergy and Infectious Diseases,United States
272200800005C-1-0-2,Vaccine and Treatment Evaluation Units,2746553,2007,2014,National Institute of Allergy and Infectious Diseases,United States
